column_name,column_comment
organ_flag,机构类型
channel_type,渠道类型
user_cnt,当日注册用户数
cust_cnt,开户数
ths_user_id,同花顺手抄id
curr_total_asset,当前总资产
curr_total_asset,总资产
open_cost_total,开户总成本
ad_cost,投流成本
channel_lv2,二级渠道
channel_lv1,一级渠道
channel_type,渠道类别
amount_collected,收款金额
channel_type,渠道类别
cur_tc,当年开户 提成
pre_tc,当年之前开户提成
channel_lv1,一级渠道
channel_lv1,一级渠道
valid_customers,有效户数
branch_no_name,所属营业部
valid_customers,有效户数
branch_no_name,所属营业部
channel_lv2,渠道2级
channel_lv2,渠道2级
fund_asset,现金资产
daily_buy_quantity,当日买入数量
fund_asset,24年年初时点保证金余额
new_account_count,本期新开户数
avg_weekly_asset_ordinary,普通账户周均总资产存量
new_account_count,本期新开户数
new_account_count,本期新开户数
cc_type,现金升佣
avg_weekly_asset_ordinary,普通账户周均总资产存量
channel_lv1,一级渠道
ats2_basket_id,ats2篮子id
ats2_basket_id,ats2篮子id
y_cost,年度开户总成本
id_kind,证件类别
is_commis_order,是否提佣单，1是，0否
is_commis_order,是否提佣单，1是，0否
is_commis_order,是否提佣单，1是，0否
is_commis_order,是否提佣单，1是，0否
is_commis_order,是否提佣单，1是，0否
is_commis_order,是否提佣单，1是，0否
is_commis_order,是否提佣单，1是，0否
is_commis_order,是否提佣单，1是，0否
advisor_name,投顾名
product_name,产品名
name,证券名称
payback_days,回本天数
phone,手机号
days,创收天数
emp_id,员工身份证号
sole_code,订单号
branch_name,营业部名称
cust_ty_asset,提佣客户资产
advisor_name,投顾名
branch_name,营业部
condition2,是否满足条件2
curr_total_asset,当前总资产
curr_total_asset,当前总资产
curr_total_asset,当前总资产
oareq_create_date,客户开户立意意愿表创建时间
new_customers_cnt,新开客户数
name,姓名
id_type,证件类别
id_type,证件类别
fund_account,资金账户
app_code,
plain_rate,普通利率％
goods_id,商品ID
total_asset,总创收
curr_total_asset,客户资产
msg_id,消息ID
msg_id,消息ID
all_count,总计数
nick_name,昵称
source,消息来源
open_date,开户日期
a_share,A股开户数（万户）
lucky_balance,中签金额
refund_amount,退款金额
customer_name,客户姓名
deposit_accounts,入金户数（时点资产>=1k）
user_name,用户名
col_2,峰值资产
nickname,昵称
nickname,昵称
nickname,昵称
col_2,峰值两融资产日期
nickname,昵称
branch_create_date,选择营业部创建时间
dd_total_asset,24年年初时点总资产(分层）
user_id,用户id
cur_year_month,当前年月
open_account_avgcost,单客成本
t_total_asset,T-7日总资产
deposit_account_quantity,入金户数
open_date,开户日期
curr_total_asset,当前时点总资产
num_compare,14点同步数据量减去00点同步数据量
branch_name,营业部名称
breakpoint_creat_time,断点时间
reject_step,驳回节点
average_cost_per_user,单客成本
effective,有效户数
deposit,入金数
total_asset,总资产
status,客户状态(0-正常/3-已销户/F-锁定 )
type,类型
type,类型
type,类型
type,类型
type,类型
asset_22,22年资产
type,类型
branch_no_name,开户营业部_名称
new3r_cust_rzmr,新两融有效户融资买入目标金额
branch_no_name,营业部名称
new2r_cust_num_bac,有效户数完成额
day,日期
open_account,开户户数
reduce_customers,本期减少客户数
fund_account,资金账号
curr_fund_asset,当前时点保证金余额
type,类型
repeat_account_2024,2024年重复开户数
rzrq_cust,两融账户开户数
system_channel_name,开户渠道
customer_phone,用户电话号码
weight,权重
gender,性别
profit,当前创收
is_effective_account,有效户个数
pay_time,服务开始时间
amount_dt,大同证券app销售额(新投顾有提佣，保留5小数)
new_deposit_account,新开客户入金户数
open_account,开户数
buss_balance,交易额
buss_balance,交易额
plat_reorder,全平台退款订单数
advisors,投顾老师数
branch_name,营业部名称
asset_prop,客户类别
asset_prop,客户类型
mt_effective_var,当月有效户变动数
mt_sale,当月销售额
yt_occur,当年净转入(市值)
mt_occur_balance,当月两融利息收入
deposit_rate,入金户率
fund_asset,现金资产
curr_total_asset,当前时点总资产
zq_balance,债券交易额
open_account,开户户数
open_day,开户时间
fare,净佣金
up_50w_month,50w大户首次达标月份
new_effective_account,新开客户有效户数
amount_dt,大同证券app销售额(新投顾有提佣，保留5小数)
open_account_quantity,开户数
new_total_asset,新开客户总资产
stock_name,名词
total_user_cost,新户总成本
open_account,开户数
total_user_cost,新户总成本
open_account,开户数
open_account_quantity,开户数
curr_total_asset,时点资产
open_account_target_rate_20w,开户数全年目标达成率（20w）
market_value,基金市值
fund_account,手机号码
cost_amt,成本
curr_total_asset,时点资产
curr_total_asset,时点资产
ggt_balance,全客群港股通佣金余额
customer_phone,客户电话
stock_name,产品名
channel_ce,渠道主体
up_std_month,标准有效户首次达标月份
product_name,产品
advisor_name,投顾
amount,订单金额
phone,手机号
amt,销售额
stock_code,股票代码
shb_shares_bus_balance,深B交易额
stock_code,股票代码
amt,销售额
fare_amt,升佣
completion_amount,当月完成额
completion_amount,累计完成额
branch_name,营业部名称
fund_asset,现金资产
completion_amount,当月完成额
fund_account,资金账号
product_distribution_income,金融产品代理销售收入
is_v,"是否是大V渠道(1-是,0-否)"
new_inst_acc,新开机构户
act_dorm_eff_acc_assets,空户激活有效户资产额
top18_fi_pub_fund_sales,18家重点合作公募基金_固收公募销售额
open_account,开户数
open_account,开户户数
open_date,开户时间
amt,销售额
channel_name,渠道
open_date,开户日期
order_amount,佣金费率
branch_no_name,营业部
stock_code,股票代码
fund_account,资金账号
fund_account,资金账号
pay_time,签约日期
cost_amt,成本
stock_name,证券名称
stock_name,股票名称
jj_balance,基金交易额
khjl,客户经理
fin_or_stk_account,理财户or股票交易户
advisor,投顾（产品对应的投顾老师）
platform_users_mt,平台&投流开户数
curr_fund_asset,客户现金资产
reits_fund_market_value,REITs基金名称
advisor,投顾（产品对应的投顾老师）
reits_fund_market_value,REITs基金名称
plat_acc_num,平台渠道开户数
deposit_ths_tr,线上当月转化-入金
zq_balance,全客群债券佣金余额
shb_shares_bus_balance,深B交易额
gp_balance,股票交易额
asset_prop,客户类型0普通，B期权，7两融
conv_acc_50w,存量转化流失_50w
branch_name,营业部
asset,资产（时点资产）
gender,性别
mobile_no,开户手机号
init_date,日期
first_time,首次进入时间
channel_lv2,二级渠道
times,委托笔数
asset_prop,资金账号类型
churned_type,流失条件枚举 1 有效流失、2 资产缩水流失 3 前两个都满足
d1_open,注册首日内激活人数
d1_valid_cnt,day1有效户数
desensitized_account,脱敏资金账号
cust_ty_asset,提佣客户总资产
is_effective_account,有效户个数
leads_count,线索数
channel_lv3,三级渠道
channel_lv2,二级渠道
curr_total_asset,时点总资产
income,不含税收入
curr_total_asset,时点总资产
total_tc,总提成+投行提成
cur_tc,当年开户提成
channel_lv2,二级渠道
channel_lv2,二级渠道
authenticated_customers,已认证客户数
financial_manager,理财经理
authenticated_customers,已认证客户数
financial_manager,理财经理
channel_lv3,渠道3级
channel_lv3,渠道3级
secu_market_value,托管市值
daily_sell_quantity,当日卖出数量
curr_total_asset,当前时点总资产
new_effective_account_count,本期新开有效户数
avg_weekly_asset_credit,信用账户周极均总资产存量
new_effective_account_count,本期新开有效户数
new_effective_account_count,本期新开有效户数
amount,订单金额
avg_weekly_asset_credit,信用账户周均总资产存量
channel_lv2,二级渠道
client_order_id,客户端母单id
client_order_id,客户端母单id
fare_cost,后端佣金成本
exchange_kind,市场类型
client_cnt,月签约人数
sales_name,销售姓名
advisor_name,投顾姓名
product_name,产品名称
client_cnt,新增签约人数
sales_name,销售姓名
advisor_name,投顾姓名
product_name,投顾产品
profit_rate,盈利用户占比
profit_rate,盈利用户占比
grade,证券评级
day,分区
service_relation,服务关系
advisor_name,开发投顾
name,客户姓名
day,day
amount,金额
tg_name,开发投顾
condition3,是否满足条件3
tg_asset,投顾资产
tg_asset,投顾资产
tg_asset,投顾资产
oareq_update_date,客户开户立意意愿表更新时间
new_customers_asset,新开资产额
mobile_no,手机号
market_type,市场类型
market_type,市场类型
money_type,类型
user_type,
credit_rate,信用利率％
userid,用户ID
actual_total_asset,实际创收
is_satisfy_asset,是否满足门槛
app_code,应用编码
app_code,应用编码
app_code,应用代码
phone,手机号
client_id,客户号
channel_name,渠道
b_share,B股开户数（万户）
branch_no,归属营业部
apply_cancel_time,退款申请时间
client_id,资金账号
effective_accounts,有效户数（时点资产>=1w）
add_time,添加时间
col_3,当前资产
team_id,战队id
fund_account,资金账号
curr_total_asset,总资产
col_3,峰值两融资产
curr_total_asset,总资产
branch_update_date,选择营业部更新时间
dd_fund_asset,24年年初时点保证金余额(分层）
customer_name,客户姓名
cur_month,当前月
open_account_quantity,开户数
curr_total_asset,当前总资产
transaction_account_quantity,交易数
is_lost_0,是否流失（1-是，0-否，万元资产户）
curr_fund_asset,当前时点保证金余额
op_source,操作来源名称0:PC;1:ios;2:Pad;3:android;4:微信;5:H5
user_id,用户ID
approve_stat,视频见证结果
lost_thousand,千元资产户流失数
effective,有效户数
deposit_cap_rat,沉淀资金比例
phone,手机号
work_name,作品名称
title,笔记标题
work_name,作品名称
video_desc,视频描述
release_date,日期
asset_21,21年资产
release_date,日期
client_id,客户号
first_rzdeal_time,首次融资买入时间
new2r_cust_num_tbd,有效户数完成率
total_user_cost,新户总成本
qmcl_customer,期末存量客户数
open_date,开户时间
curr_posi,当前仓位
work_name,作品
dispute_account,异议申请账户数
rzrq_rate,覆盖率
curr_total_asset,当前总资产
customer_risk_level,客户风险等级
achievement,完成额
age,年龄
is_deposit_account,入金户个数
book_origin,订阅来源：1-同花顺；5-大同证券
unit_price,客单价
new_buss_rate,新开客户交易量占比
deposit,入金户数
turnover_rate,周转率
turnover_rate,周转率
zh_amount,组合销售额
system_channel_name,渠道名称
channel_own,线上下
open_date,开户日期
cl_effective,存量有效户数
mt_purchase,当月产品购买人数
fund_asset,现金资产
yt_fare,当年净佣金收入
effective_rate,有效户率
branch_no,营业部no
secu_market_value,证券市值
curr_fund_asset,当前时点保证金余额
ggt_balance,港股通交易额
total_user_cost,新户总成本
avg_asset,22日日均资产
interest_rate,息差
up_50w_upshift_month,50w大户首次升档月份
new_deposit_account,新开客户入金户数
unit_price,客单价
new_effective_account,新开客户有效户数
stock_type,股票类型
single_customer_cost,单客成本
total_user_cost,新户总成本
single_customer_cost,单客成本
total_user_cost,新户总成本
income_amt,时点收益
total_user_cost,新户总成本
cur_amount,持仓数量
off_site,端外 1 端内 0
income_amt,收益
income_amt,时点收益
income_amt,时点收益
bjs_balance,全客群北交所佣金余额
customer_risk_level,客户风险等级
cumulative_return,收益率
open_day,开户时间
up_50w_month,50w大户首次达标月份
amount,订单金额
amount,订单金额
order_exp_cnt,小单数
first_time,首次进入时间
cash_amount,现金
stock_name,名词
jj_balance,基金交易额
stock_name,名词
cash_amount,现金
lg_cnt,大单数
seq_task_completion_rate,序时任务完成率
target_amount,目标额
branch_tag,选择营业部
secu_market_value,证券市值
seq_task_completion_rate,序时任务完成率
open_date,开户时间
interest_income,客户利息收入
fare_rate,净佣金收入比例(大同所得)
new_prod_acc,新开产品户
fut_eff_acc_assets,期货有效户资产额
top18_equity_pub_fund_sales,18家重点合作公募基金_权益公募销售额
total_user_cost,新户总成本
total_user_cost,新户总成本
curr_total_asset,当前总资产
fare_amt,升佣
channel_own,线上/下
gender,性别
curr_total_asset,总资产
organ_flag,用户类型0-个人，1-机构，
stock_name,名词
open_date,开户时间
open_date,开户时间
order_amount,佣金费率
income_amt,收益
entrust_bs,买卖方向：1 买入，2 卖出
latest_price,当日收盘价(T)
zq_balance,债券交易额
is_sucess_balance,缴款状态
financial_manager,理财经理
advisor_product_purchase_time,投顾产品购买时间
adv_users,广告渠道开户数
curr_total_asset,总资产
advisor_product_purchase_time,投顾产品购买时间
plat_acc_ann_achv_rate,平台渠道开户数年度达成率
deposit_ths_no,线上上月非入金-入金
ggt_balance,全客群港股通佣金余额
jj_balance,基金交易额
jj_balance,基金交易额
new_acc,客户类型0个人，1机构，3产品户
total_asset,总资产
fin_or_stk_account,理财户or股票交易户
channel_type,渠道类别
branch_name,开户营业部
still_time,累计观看时长
channel_lv3,三级渠道
name,客户姓名
cust_cnt,客户总数
d3_open,注册后3日内激活人数
d3_valid_cnt,day3有效户数
account,加密资金账号
day,日期
is_deposit_account,入金户个数
channel_lv4,四级渠道
channel_lv3,三级渠道
peak_total_asset,峰值资产
cust_ty_asset,提佣客户总资产
collected,收款方
cust_ty_asset,提佣客户总资产
cust_ty_asset,提佣客户总资产
peak_total_asset,峰值资产
pre_net_revenue,当年之前开户创收
total_tc,总提成
channel_lv3,三级渠道
channel_lv3,三级渠道
authenticated_valid_customers,已认证有效户数
curr_total_asset,总资产
authenticated_valid_customers,已认证有效户数
curr_total_asset,总资产
channel_lv4,渠道4级
channel_lv4,渠道4级
prod_market_value,金融产品保有量
settlement_status,平仓状态
